Date,Open,High,Low,Close,Volume,Adj Close
03/02/20,71.544998,71.699997,71.265503,71.496498,0,71.496498
04/02/20,71.314102,71.514999,71.084999,71.314102,0,71.314102
05/02/20,71.100403,71.279999,71.099899,71.099998,0,71.099998
06/02/20,71.181,71.397499,71.121002,71.18,0,71.18
07/02/20,71.470001,71.570999,71.177498,71.470001,0,71.470001
10/02/20,71.504997,71.508003,71.259003,71.515503,0,71.515503
11/02/20,71.470001,71.470001,71.171501,71.279999,0,71.279999
12/02/20,71.275497,71.474998,71.064003,71.275299,0,71.275299
13/02/20,71.296501,71.491898,71.235802,71.296204,0,71.296204
14/02/20,71.268501,71.596001,71.256401,71.268501,0,71.268501
17/02/20,71.5177,71.5177,71.268997,71.514801,0,71.514801
18/02/20,71.349297,71.613503,71.330002,71.349197,0,71.349197
19/02/20,71.790001,71.815002,71.420998,71.574997,0,71.574997
20/02/20,71.632896,71.919502,71.547401,71.827499,0,71.827499
21/02/20,72.110001,72.110001,71.669998,72.110001,0,72.110001
24/02/20,71.870003,72.355003,71.766998,71.886803,0,71.886803
25/02/20,72.0467,72.294998,71.593002,72.0467,0,72.0467
26/02/20,71.870003,72.137497,71.525597,71.870003,0,71.870003
27/02/20,71.663399,71.952499,71.535004,71.663399,0,71.663399
28/02/20,71.93,72.815002,71.627502,71.93,0,71.93